Site,Number_GunShot,UpdatedNumber
1,0,0
2,9,0
3,0,0
4,1,2
5,0,8
6,0,1
7,0,9
8,0,0
9,1,5
10,0,1
11,0,1
12,5,4
13,1,1
14,5,0
15,7,0
16,2,4
17,0,4
18,0,0
19,5,0
20,0,11
21,2,0
22,4,2
23,0,0
24,1,0
25,5,8
26,2,6
27,2,0
28,0,4
29,0,0
30,0,0
31,0,2
32,0,0
33,,0
34,0,0
35,0,2
36,21,0
37,4,2
38,2,0
39,,0
40,9,0
41,8,3
42,1,0
43,2,0
44,0,0
45,4,0
46,0,5
47,0,0
48,4,0
49,1,0
50,0,1
51,0,0
52,0,5
53,0,1
54,0,7
55,6,1
56,8,5
57,5,7
58,1,0
59,0,0
60,0,2
61,0,1
62,0,
63,0,
64,3,